ID,Q1_SSC_GPA,Q2_Secondary_School_Name,EIIN,Q3_School_Location,A1_Gender,A2_Home_Location,A3_Group_Type,A4_Medium_of_Education,B1_Monthly_Family_Income,B2_Father_Education,B3_Mother_Education,B4_Father_Occupation,B5_Received_Stipend,B6_Quiet_Study_Place_At_Home,C1_Class_Attendance_Rate,C2_Daily_Self_Study_Hours,C3_Repeated_Any_Class,C4_Regular_Homework_Completion,D1_Private_Tutor_At_Home,D2_Attended_Coaching_Center,D3_Used_Suggestion_Or_Guide_Books,D4_Extra_Classes_At_School,E0_Owned_Smartphone,E1_Internet_Access,E2_Daily_Internet_Usage_Hours,E3_Social_Media_Account,E4_Primary_Purpose_of_Internet,F1_School_Lab_Facility,F2_School_Library_Facility,F3_Departmental_Teacher_Count,F4_Class_Student_Count,G1_Understand_Difficult_Subjects,G2_Confidence_In_Core_Concepts,G3_Master_School_Skills,G4_Perform_Better_Than_Peers,G5_Confidence_In_Exam_Questions,G6_Nervous_Forget_Concepts,G7_Anxious_Insomnia_Before_Exam,G8_Anxious_Under_Pressure_Despite_Studying,G9_Peaceful_During_Exam,G10_Parents_Encouraged_Hard_Work,G11_Family_Interested_In_Progress,G12_Parents_Provided_Study_Materials,G13_Family_Discussed_School_Progress,Appeared,Passed,Pass rate,GPA_5,GPA_%,Appeared_numeric,Passed_numeric,Pass rate_numeric,GPA_%_numeric,Calculated_pass_rate,Pass_rate_difference,Calculated_GPA5_percentage,Calculated_pass_rate_check,Pass_rate_difference_check,G1_Understand_Difficult_Subjects_score,G2_Confidence_In_Core_Concepts_score,G3_Master_School_Skills_score,G4_Perform_Better_Than_Peers_score,G5_Confidence_In_Exam_Questions_score,G6_Nervous_Forget_Concepts_score,G7_Anxious_Insomnia_Before_Exam_score,G8_Anxious_Under_Pressure_Despite_Studying_score,G9_Peaceful_During_Exam_score,G10_Parents_Encouraged_Hard_Work_score,G11_Family_Interested_In_Progress_score,G12_Parents_Provided_Study_Materials_score,G13_Family_Discussed_School_Progress_score,G9_Peaceful_During_Exam_reverse,Academic_Self_Efficacy_Score,Exam_Anxiety_Score,Family_Academic_Support_Score,Target_numeric
296,4.50 - 5.00,Ekra Model High School,136562,Town/City (Urban),Male,Rural Area,Science,Bangla Medium,Below 15000 TK,Higher Secondary (HSC) or Above,Higher Secondary (HSC) or Above,Others,No,Yes,75% or Above,More than 4 Hours,No,Always,Yes,No,Yes,Yes,Yes,Yes,Less than 2 Hours,No,Studying / Educational Content,Not Available,Not Available,3,30,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,378,271,72%,13,6%,378.0,271.0,72.0,6.0,71.6931216931217,0.3068783068783034,4.797047970479705,71.6931216931217,0.3068783068783034,4,4,4,4,2,2,4,2,4,4,4,4,4,2,3.6,2.5,4.0,2
297,3.00 - 4.49,Golam Nabi Model Pilot High School,109073,Town/City (Urban),Male,Rural Area,Arts (Humanities),Bangla Medium,15000 - 40000 TK,Primary,Primary,Job (Government or Private),No,No,60% - 75%,2 - 4 Hours,No,Sometimes,No,No,Yes,Yes,Yes,Yes,2 - 4 Hours,Yes,Both Equally,Available,Available,3,70,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,156,104,76%,6,6%,156.0,104.0,76.0,6.0,66.66666666666666,9.333333333333343,5.769230769230769,66.66666666666666,9.333333333333343,5,5,4,5,5,5,1,5,2,4,4,4,4,4,4.8,3.75,4.0,1
298,3.00 - 4.49,Golam Nabi Model Pilot High School,109073,Town/City (Urban),Male,Rural Area,Arts (Humanities),Bangla Medium,15000 - 40000 TK,Primary,Secondary (SSC or Below),Business / Self-employed,No,Yes,60% - 75%,Less than 2 Hours,No,Sometimes,Yes,No,Yes,No,No,Yes,Less than 2 Hours,No,Social Media / Entertainment,Available,Available,3,70,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,156,104,76%,6,6%,156.0,104.0,76.0,6.0,66.66666666666666,9.333333333333343,5.769230769230769,66.66666666666666,9.333333333333343,4,2,4,2,2,4,4,4,2,4,4,4,4,4,2.8,4.0,4.0,1
299,3.00 - 4.49,Golam Nabi Model Pilot High School,109073,Town/City (Urban),Male,Urban Area,Science,Bangla Medium,15000 - 40000 TK,Higher Secondary (HSC) or Above,Higher Secondary (HSC) or Above,Business / Self-employed,No,Yes,60% - 75%,Less than 2 Hours,No,Sometimes,Yes,No,Yes,Yes,No,Yes,Less than 2 Hours,Yes,Both Equally,Available,Available,6,55,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,156,104,76%,6,6%,156.0,104.0,76.0,6.0,66.66666666666666,9.333333333333343,5.769230769230769,66.66666666666666,9.333333333333343,5,5,4,4,4,5,1,1,1,4,4,4,4,5,4.4,3.0,4.0,1
300,3.00 - 4.49,Golam Nabi Model Pilot High School,109073,Town/City (Urban),Female,Rural Area,Science,Bangla Medium,Below 15000 TK,Secondary (SSC or Below),Higher Secondary (HSC) or Above,Job (Government or Private),No,Yes,75% or Above,Less than 2 Hours,No,Sometimes,No,No,Yes,No,No,No,Never_Use,No,Never_USe,Available,Available,6,55,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Disagree,Agree,Agree,Agree,Agree,156,104,76%,6,6%,156.0,104.0,76.0,6.0,66.66666666666666,9.333333333333343,5.769230769230769,66.66666666666666,9.333333333333343,4,4,4,3,4,3,4,3,2,4,4,4,4,4,3.8,3.5,4.0,1
301,3.00 - 4.49,Golam Nabi Model Pilot High School,109073,Town/City (Urban),Female,Rural Area,Science,Bangla Medium,15000 - 40000 TK,Higher Secondary (HSC) or Above,Secondary (SSC or Below),Business / Self-employed,Yes,No,75% or Above,2 - 4 Hours,No,Sometimes,No,No,Yes,No,No,No,Never_Use,No,Never_USe,Available,Available,6,55,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Neutral,Disagree,Agree,Agree,Neutral,Agree,156,104,76%,6,6%,156.0,104.0,76.0,6.0,66.66666666666666,9.333333333333343,5.769230769230769,66.66666666666666,9.333333333333343,4,3,4,3,3,4,4,3,2,4,4,3,4,4,3.4,3.75,3.75,1
302,4.50 - 5.00,Golam Nabi Model Pilot High School,109073,Town/City (Urban),Male,Urban Area,Vocational / Dakhil,Bangla Medium,Above 40000 TK,Secondary (SSC or Below),Secondary (SSC or Below),Job (Government or Private),No,No,75% or Above,More than 4 Hours,No,Always,No,Yes,Yes,No,No,Yes,Less than 2 Hours,Yes,Both Equally,Available,Available,4,55,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,156,104,76%,6,6%,156.0,104.0,76.0,6.0,66.66666666666666,9.333333333333343,5.769230769230769,66.66666666666666,9.333333333333343,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4.0,4.0,4.0,2
303,4.50 - 5.00,Golam Nabi Model Pilot High School,109073,Town/City (Urban),Male,Urban Area,Science,Bangla Medium,15000 - 40000 TK,Primary,Secondary (SSC or Below),Business / Self-employed,Yes,No,75% or Above,More than 4 Hours,No,Always,No,No,Yes,Yes,Yes,Yes,2 - 4 Hours,Yes,Both Equally,Available,Available,6,55,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,156,104,76%,6,6%,156.0,104.0,76.0,6.0,66.66666666666666,9.333333333333343,5.769230769230769,66.66666666666666,9.333333333333343,5,5,5,5,5,1,1,1,4,5,5,5,4,2,5.0,1.25,4.75,2
304,4.50 - 5.00,Golam Nabi Model Pilot High School,109073,Town/City (Urban),Male,Rural Area,Science,Bangla Medium,15000 - 40000 TK,Primary,Primary,Others,No,Yes,75% or Above,More than 4 Hours,No,Always,No,No,Yes,Yes,No,No,Never_Use,No,Never_USe,Available,Available,6,55,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,156,104,76%,6,6%,156.0,104.0,76.0,6.0,66.66666666666666,9.333333333333343,5.769230769230769,66.66666666666666,9.333333333333343,5,5,5,4,4,3,3,3,4,4,4,4,4,2,4.6,2.75,4.0,2
305,4.50 - 5.00,Golam Nabi Model Pilot High School,109073,Town/City (Urban),Male,Rural Area,Science,Bangla Medium,Below 15000 TK,No Institutional Education,No Institutional Education,Agriculture,Yes,Yes,75% or Above,More than 4 Hours,No,Always,Yes,No,Yes,No,Yes,Yes,2 - 4 Hours,Yes,Studying / Educational Content,Available,Available,6,55,Agree,Agree,Agree,Neutral,Strongly Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Neutral,156,104,76%,6,6%,156.0,104.0,76.0,6.0,66.66666666666666,9.333333333333343,5.769230769230769,66.66666666666666,9.333333333333343,4,4,4,3,5,2,4,2,4,4,4,4,3,2,4.0,2.5,3.75,2
