ID,Q1_SSC_GPA,Q2_Secondary_School_Name,EIIN,Q3_School_Location,A1_Gender,A2_Home_Location,A3_Group_Type,A4_Medium_of_Education,B1_Monthly_Family_Income,B2_Father_Education,B3_Mother_Education,B4_Father_Occupation,B5_Received_Stipend,B6_Quiet_Study_Place_At_Home,C1_Class_Attendance_Rate,C2_Daily_Self_Study_Hours,C3_Repeated_Any_Class,C4_Regular_Homework_Completion,D1_Private_Tutor_At_Home,D2_Attended_Coaching_Center,D3_Used_Suggestion_Or_Guide_Books,D4_Extra_Classes_At_School,E0_Owned_Smartphone,E1_Internet_Access,E2_Daily_Internet_Usage_Hours,E3_Social_Media_Account,E4_Primary_Purpose_of_Internet,F1_School_Lab_Facility,F2_School_Library_Facility,F3_Departmental_Teacher_Count,F4_Class_Student_Count,G1_Understand_Difficult_Subjects,G2_Confidence_In_Core_Concepts,G3_Master_School_Skills,G4_Perform_Better_Than_Peers,G5_Confidence_In_Exam_Questions,G6_Nervous_Forget_Concepts,G7_Anxious_Insomnia_Before_Exam,G8_Anxious_Under_Pressure_Despite_Studying,G9_Peaceful_During_Exam,G10_Parents_Encouraged_Hard_Work,G11_Family_Interested_In_Progress,G12_Parents_Provided_Study_Materials,G13_Family_Discussed_School_Progress,Appeared,Passed,Pass rate,GPA_5,GPA_%,Appeared_numeric,Passed_numeric,Pass rate_numeric,GPA_%_numeric,Calculated_pass_rate,Pass_rate_difference,Calculated_GPA5_percentage,Calculated_pass_rate_check,Pass_rate_difference_check,G1_Understand_Difficult_Subjects_score,G2_Confidence_In_Core_Concepts_score,G3_Master_School_Skills_score,G4_Perform_Better_Than_Peers_score,G5_Confidence_In_Exam_Questions_score,G6_Nervous_Forget_Concepts_score,G7_Anxious_Insomnia_Before_Exam_score,G8_Anxious_Under_Pressure_Despite_Studying_score,G9_Peaceful_During_Exam_score,G10_Parents_Encouraged_Hard_Work_score,G11_Family_Interested_In_Progress_score,G12_Parents_Provided_Study_Materials_score,G13_Family_Discussed_School_Progress_score,G9_Peaceful_During_Exam_reverse,Academic_Self_Efficacy_Score,Exam_Anxiety_Score,Family_Academic_Support_Score,Target_numeric
1,3.00 - 4.49,Shinabaha High School,109090,Town/City (Urban),Female,Rural Area,Science,Bangla Medium,"15,000 - 40,000 Taka",Secondary (SSC or Below),Primary,Job (Government or Private),No,Yes,75% or Above,2 - 4 Hours,No,Always,Yes,Yes,Yes,Yes,Yes,Yes,Less than 2 hours,Yes,Studying / Educational Content,Not Available,Available,4,40,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,159,104,65%,6,5%,159.0,104.0,65.0,5.0,65.40880503144653,-0.40880503144653346,5.769230769230769,65.40880503144653,-0.40880503144653346,4,4,3,3,3,4,4,4,4,4,4,4,4,2,3.4,3.5,4.0,1
2,3.00 - 4.49,Shinabaha High School,109090,Town/City (Urban),Female,Rural Area,Commerce,Bangla Medium,Below 15000 TK,Primary,Primary,Job (Government or Private),No,Yes,Below 60%,Less than 2 Hours,No,Sometimes,No,No,Yes,No,Yes,Yes,2 - 4 Hours,Yes,Both Equally,Not Available,Available,4,65,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,159,104,65%,6,5%,159.0,104.0,65.0,5.0,65.40880503144653,-0.40880503144653346,5.769230769230769,65.40880503144653,-0.40880503144653346,4,4,4,3,3,4,4,4,2,4,4,4,4,4,3.6,4.0,4.0,1
3,3.00 - 4.49,Shinabaha High School,109090,Town/City (Urban),Female,Rural Area,Science,Bangla Medium,15000 - 40000 TK,Secondary (SSC or Below),Higher Secondary (HSC) or Above,Job (Government or Private),No,Yes,75% or Above,2 - 4 Hours,No,Sometimes,No,No,Yes,Yes,No,No,Never_Use,No,Never_Use,Not Available,Available,4,40,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,159,104,65%,6,5%,159.0,104.0,65.0,5.0,65.40880503144653,-0.40880503144653346,5.769230769230769,65.40880503144653,-0.40880503144653346,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4.0,3.5,4.0,1
4,Below 3.00,Shinabaha High School,109090,Town/City (Urban),Female,Urban Area,Commerce,Bangla Medium,15000 - 40000 TK,Secondary (SSC or Below),Secondary (SSC or Below),Business / Self-employed,No,Yes,60% - 75%,2 - 4 Hours,No,Always,No,Yes,Yes,No,No,Yes,2 - 4 Hours,No,Both Equally,Not Available,Available,4,65,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,159,104,65%,6,5%,159.0,104.0,65.0,5.0,65.40880503144653,-0.40880503144653346,5.769230769230769,65.40880503144653,-0.40880503144653346,4,4,4,3,4,4,4,4,4,3,4,4,4,2,3.8,3.5,3.75,0
5,4.50 - 5.00,Shinabaha High School,109090,Town/City (Urban),Female,Urban Area,Science,Bangla Medium,15000 - 40000 TK,Secondary (SSC or Below),Secondary (SSC or Below),Job (Government or Private),Yes,Yes,60% - 75%,2 - 4 Hours,Yes,Sometimes,No,No,Yes,Yes,Yes,Yes,Less than 2 Hours,Yes,Social Media / Entertainment,Not Available,Available,4,40,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,159,104,65%,6,5%,159.0,104.0,65.0,5.0,65.40880503144653,-0.40880503144653346,5.769230769230769,65.40880503144653,-0.40880503144653346,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4.0,3.5,4.0,2
6,3.00 - 4.49,Shinabaha High School,109090,Town/City (Urban),Male,Rural Area,Science,Bangla Medium,15000 - 40000 TK,Secondary (SSC or Below),Primary,Job (Government or Private),No,Yes,75% or Above,2 - 4 Hours,No,Always,No,Yes,Yes,No,No,Yes,Less than 2 Hours,Yes,Both Equally,Not Available,Available,4,30,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,159,104,65%,6,5%,159.0,104.0,65.0,5.0,65.40880503144653,-0.40880503144653346,5.769230769230769,65.40880503144653,-0.40880503144653346,1,1,4,4,4,1,4,4,2,4,4,4,4,4,2.8,3.25,4.0,1
7,3.00 - 4.49,Shinabaha High School,109090,Town/City (Urban),Female,Urban Area,Science,Bangla Medium,Above 40000 TK,Higher Secondary (HSC) or Above,Higher Secondary (HSC) or Above,Business / Self-employed,No,Yes,75% or Above,2 - 4 Hours,No,Sometimes,Yes,No,Yes,No,Yes,Yes,2 - 4 Hours,Yes,Both Equally,Not Available,Available,4,40,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,159,104,65%,6,5%,159.0,104.0,65.0,5.0,65.40880503144653,-0.40880503144653346,5.769230769230769,65.40880503144653,-0.40880503144653346,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4.0,3.5,4.0,1
8,3.00 - 4.49,Shinabaha High School,109090,Town/City (Urban),Male,Urban Area,Science,Bangla Medium,15000 - 40000 TK,Secondary (SSC or Below),Higher Secondary (HSC) or Above,Job (Government or Private),No,Yes,60% - 75%,2 - 4 Hours,No,Sometimes,Yes,No,No,No,No,No,Never_Use,No,Never_USe,Not Available,Available,4,30,Neutral,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,159,104,65%,6,5%,159.0,104.0,65.0,5.0,65.40880503144653,-0.40880503144653346,5.769230769230769,65.40880503144653,-0.40880503144653346,3,4,1,4,4,4,4,4,4,4,4,4,4,2,3.2,3.5,4.0,1
9,3.00 - 4.49,Shafipur Ideal Public School,134287,Town/City (Urban),Female,Urban Area,Arts (Humanities),Bangla Medium,15000 - 40000 TK,Secondary (SSC or Below),Primary,Others,No,Yes,75% or Above,2 - 4 Hours,No,Always,Yes,No,Yes,Yes,No,No,Never_Use,No,Never_USe,Available,Not Available,10,56,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Disagree,Agree,Disagree,238,226,95%,54,23%,238.0,226.0,95.0,23.0,94.9579831932773,0.042016806722699584,23.893805309734514,94.9579831932773,0.042016806722699584,5,4,4,5,4,4,4,4,1,4,2,4,2,5,4.4,4.25,3.0,1
10,3.00 - 4.49,Shafipur Ideal Public School,134287,Town/City (Urban),Male,Urban Area,Commerce,Bangla Medium,15000 - 40000 TK,No Institutional Education,Higher Secondary (HSC) or Above,Business / Self-employed,No,No,75% or Above,2 - 4 Hours,No,Sometimes,Yes,No,Yes,No,Yes,Yes,Less than 2 Hours,Yes,Both Equally,Available,Not Available,11,40,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,238,226,95%,54,23%,238.0,226.0,95.0,23.0,94.9579831932773,0.042016806722699584,23.893805309734514,94.9579831932773,0.042016806722699584,4,4,4,4,4,3,3,3,5,5,5,5,4,1,4.0,2.5,4.75,1
11,3.00 - 4.49,Shafipur Ideal Public School,134287,Town/City (Urban),Male,Urban Area,Science,Bangla Medium,Above 40000 TK,Higher Secondary (HSC) or Above,Higher Secondary (HSC) or Above,Job (Government or Private),No,Yes,75% or Above,More than 4 Hours,No,Always,No,No,Yes,Yes,No,No,Never_Use,No,Never_USe,Available,Not Available,12,52,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,238,226,95%,54,23%,238.0,226.0,95.0,23.0,94.9579831932773,0.042016806722699584,23.893805309734514,94.9579831932773,0.042016806722699584,5,5,4,4,4,2,1,2,5,5,5,5,5,1,4.4,1.5,5.0,1
12,3.00 - 4.49,Shafipur Ideal Public School,134287,Town/City (Urban),Female,Urban Area,Science,Bangla Medium,Above 40000 TK,Higher Secondary (HSC) or Above,Higher Secondary (HSC) or Above,Others,No,Yes,60% - 75%,More than 4 Hours,No,Always,Yes,No,Yes,Yes,No,Yes,Less than 2 Hours,No,Both Equally,Available,Not Available,12,52,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,238,226,95%,54,23%,238.0,226.0,95.0,23.0,94.9579831932773,0.042016806722699584,23.893805309734514,94.9579831932773,0.042016806722699584,5,5,5,2,5,2,4,2,4,5,5,5,5,2,4.4,2.5,5.0,1
13,3.00 - 4.49,Shafipur Ideal Public School,134287,Town/City (Urban),Female,Urban Area,Science,Bangla Medium,Above 40000 TK,Higher Secondary (HSC) or Above,Secondary (SSC or Below),Job (Government or Private),No,Yes,60% - 75%,Less than 2 Hours,No,Sometimes,Yes,Yes,Yes,Yes,No,No,Never_Use,No,Never_USe,Available,Not Available,12,52,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,238,226,95%,54,23%,238.0,226.0,95.0,23.0,94.9579831932773,0.042016806722699584,23.893805309734514,94.9579831932773,0.042016806722699584,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4.0,3.5,4.0,1
14,4.50 - 5.00,Shafipur Ideal Public School,134287,Town/City (Urban),Female,Urban Area,Science,Bangla Medium,Above 40000 TK,Higher Secondary (HSC) or Above,Higher Secondary (HSC) or Above,Job (Government or Private),Yes,Yes,75% or Above,More than 4 Hours,No,Always,Yes,Yes,Yes,Yes,No,Yes,2 - 4 Hours,Yes,Both Equally,Available,Not Available,12,52,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,238,226,95%,54,23%,238.0,226.0,95.0,23.0,94.9579831932773,0.042016806722699584,23.893805309734514,94.9579831932773,0.042016806722699584,4,4,4,4,4,2,2,2,4,4,4,4,4,2,4.0,2.0,4.0,2
15,3.00 - 4.49,Shafipur Ideal Public School,134287,Town/City (Urban),Female,Urban Area,Arts (Humanities),Bangla Medium,Above 40000 TK,Secondary (SSC or Below),Secondary (SSC or Below),Business / Self-employed,No,Yes,75% or Above,2 - 4 Hours,No,Sometimes,Yes,No,Yes,Yes,No,Yes,2 - 4 Hours,No,Both Equally,Available,Not Available,10,56,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,238,226,95%,54,23%,238.0,226.0,95.0,23.0,94.9579831932773,0.042016806722699584,23.893805309734514,94.9579831932773,0.042016806722699584,4,4,4,4,4,4,3,4,4,4,4,4,4,2,4.0,3.25,4.0,1
16,3.00 - 4.49,Shafipur Ideal Public School,134287,Town/City (Urban),Male,Rural Area,Arts (Humanities),Bangla Medium,Above 40000 TK,Secondary (SSC or Below),Secondary (SSC or Below),Business / Self-employed,No,Yes,75% or Above,2 - 4 Hours,No,Sometimes,Yes,No,Yes,Yes,Yes,Yes,2 - 4 Hours,Yes,Both Equally,Available,Not Available,10,56,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,238,226,95%,54,23%,238.0,226.0,95.0,23.0,94.9579831932773,0.042016806722699584,23.893805309734514,94.9579831932773,0.042016806722699584,4,4,4,2,2,4,4,4,2,4,4,4,4,4,3.2,4.0,4.0,1
17,3.00 - 4.49,Shafipur Ideal Public School,134287,Town/City (Urban),Male,Rural Area,Science,Bangla Medium,Above 40000 TK,Secondary (SSC or Below),Secondary (SSC or Below),Business / Self-employed,Yes,Yes,75% or Above,2 - 4 Hours,No,Sometimes,No,No,Yes,Yes,Yes,Yes,More than 4 Hours,Yes,Both Equally,Available,Not Available,12,52,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,238,226,95%,54,23%,238.0,226.0,95.0,23.0,94.9579831932773,0.042016806722699584,23.893805309734514,94.9579831932773,0.042016806722699584,4,4,4,2,4,4,4,4,2,4,4,4,4,4,3.6,4.0,4.0,1
18,3.00 - 4.49,Shafipur Ideal Public School,134287,Town/City (Urban),Male,Urban Area,Science,Bangla Medium,15000 - 40000 TK,Higher Secondary (HSC) or Above,Secondary (SSC or Below),Job (Government or Private),No,Yes,75% or Above,Less than 2 Hours,No,Sometimes,Yes,No,Yes,Yes,Yes,Yes,Less than 2 Hours,Yes,Both Equally,Available,Not Available,12,52,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,238,226,95%,54,23%,238.0,226.0,95.0,23.0,94.9579831932773,0.042016806722699584,23.893805309734514,94.9579831932773,0.042016806722699584,4,4,4,2,4,4,4,4,4,4,4,4,4,2,3.6,3.5,4.0,1
19,4.50 - 5.00,North Loshkar Chala High School And College,109087,Village (Rural),Female,Rural Area,Science,Bangla Medium,15000 - 40000 TK,Higher Secondary (HSC) or Above,Higher Secondary (HSC) or Above,Job (Government or Private),No,Yes,75% or Above,2 - 4 Hours,No,Always,No,No,Yes,No,Yes,Yes,Less than 2 Hours,No,Studying / Educational Content,Not Available,Not Available,5,75,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,60,42,70%,1,3%,60.0,42.0,70.0,3.0,70.0,0.0,2.380952380952381,70.0,0.0,5,4,4,4,5,4,5,5,2,4,4,4,4,4,4.4,4.5,4.0,2
20,3.00 - 4.49,North Loshkar Chala High School And College,109087,Village (Rural),Female,Rural Area,Science,Bangla Medium,15000 - 40000 TK,Secondary (SSC or Below),Secondary (SSC or Below),Business / Self-employed,No,Yes,75% or Above,2 - 4 Hours,No,Always,No,No,Yes,No,Yes,Yes,Less than 2 Hours,No,Studying / Educational Content,Not Available,Not Available,5,75,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,60,42,70%,1,3%,60.0,42.0,70.0,3.0,70.0,0.0,2.380952380952381,70.0,0.0,4,4,4,4,4,2,2,2,2,4,4,4,4,4,4.0,2.5,4.0,1
21,3.00 - 4.49,North Loshkar Chala High School And College,109087,Village (Rural),Male,Rural Area,Arts (Humanities),Bangla Medium,Below 15000 TK,Higher Secondary (HSC) or Above,Secondary (SSC or Below),Agriculture,No,Yes,60% - 75%,2 - 4 Hours,No,Sometimes,Yes,No,Yes,No,No,No,Never_Use,No,Never_USe,Not Available,Not Available,3,80,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,60,42,70%,1,3%,60.0,42.0,70.0,3.0,70.0,0.0,2.380952380952381,70.0,0.0,3,3,3,3,3,2,4,4,2,4,4,4,4,4,3.0,3.5,4.0,1
22,3.00 - 4.49,Mazukhan High School,109099,Town/City (Urban),Female,Urban Area,Science,Bangla Medium,15000 - 40000 TK,Secondary (SSC or Below),Secondary (SSC or Below),Others,No,Yes,75% or Above,Less than 2 Hours,No,Always,Yes,No,Yes,Yes,No,No,Never_Use,No,Never_USe,Available,Available,5,70,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,60,42,70%,1,3%,60.0,42.0,70.0,3.0,70.0,0.0,2.380952380952381,70.0,0.0,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4.0,3.5,4.0,1
23,3.00 - 4.49,Mazukhan High School,109099,Town/City (Urban),Female,Rural Area,Science,Bangla Medium,15000 - 40000 TK,Higher Secondary (HSC) or Above,Secondary (SSC or Below),Others,No,Yes,60% - 75%,Less than 2 Hours,No,Always,Yes,No,Yes,Yes,No,No,Never_Use,No,Never_USe,Available,Available,5,70,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,60,42,70%,1,3%,60.0,42.0,70.0,3.0,70.0,0.0,2.380952380952381,70.0,0.0,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4.0,3.5,4.0,1
24,Below 3.00,Mazukhan High School,109099,Town/City (Urban),Male,Rural Area,Commerce,Bangla Medium,15000 - 40000 TK,Primary,Primary,Business / Self-employed,No,Yes,60% - 75%,2 - 4 Hours,No,Very Low / Rarely,No,No,Yes,Yes,Yes,Yes,Less than 2 Hours,Yes,Social Media / Entertainment,Available,Available,3,75,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,60,42,70%,1,3%,60.0,42.0,70.0,3.0,70.0,0.0,2.380952380952381,70.0,0.0,3,3,3,3,3,2,2,2,2,2,2,2,2,4,3.0,2.5,2.0,0
25,3.00 - 4.49,Mahanagar Public School,136859,Town/City (Urban),Female,Urban Area,Science,Bangla Medium,15000 - 40000 TK,No Institutional Education,No Institutional Education,Others,No,Yes,60% - 75%,More than 4 Hours,No,Always,Yes,Yes,Yes,Yes,No,No,Never_Use,No,Never_USe,Available,Not Available,8,40,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,97,64,66%,1,2%,97.0,64.0,66.0,2.0,65.97938144329896,0.02061855670103796,1.5625,65.97938144329896,0.02061855670103796,4,4,4,4,4,2,2,2,2,3,3,3,3,4,4.0,2.5,3.0,1
26,3.00 - 4.49,Mahanagar Public School,136859,Town/City (Urban),Male,Urban Area,Science,Bangla Medium,Above 40000 TK,Higher Secondary (HSC) or Above,Secondary (SSC or Below),Business / Self-employed,Yes,Yes,75% or Above,2 - 4 Hours,No,Sometimes,Yes,No,Yes,Yes,No,No,Never_Use,No,Never_USe,Available,Not Available,8,40,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,97,64,66%,1,2%,97.0,64.0,66.0,2.0,65.97938144329896,0.02061855670103796,1.5625,65.97938144329896,0.02061855670103796,4,4,4,2,4,2,2,2,4,4,4,4,4,2,3.6,2.0,4.0,1
27,3.00 - 4.49,Ratanpur Genius Public School,138953,Town/City (Urban),Male,Urban Area,Science,Bangla Medium,15000 - 40000 TK,Secondary (SSC or Below),Primary,Others,No,Yes,75% or Above,Less than 2 Hours,No,Sometimes,No,No,Yes,No,Yes,Yes,Less than 2 Hours,Yes,Social Media / Entertainment,Not Available,Not Available,3,20,Neutral,Neutral,Neutral,Disagree,Agree,Disagree,Agree,Neutral,Strongly Disagree,Strongly Agree,Neutral,Disagree,Agree,97,64,66%,1,2%,97.0,64.0,66.0,2.0,65.97938144329896,0.02061855670103796,1.5625,65.97938144329896,0.02061855670103796,3,3,3,2,4,2,4,3,1,5,3,2,4,5,3.0,3.5,3.5,1
28,3.00 - 4.49,Ratanpur Genius Public School,138953,Town/City (Urban),Female,Rural Area,Science,Bangla Medium,Above 40000 TK,Secondary (SSC or Below),Secondary (SSC or Below),Job (Government or Private),No,Yes,75% or Above,More than 4 Hours,No,Always,Yes,No,Yes,Yes,Yes,Yes,2 - 4 Hours,Yes,Both Equally,Not Available,Not Available,3,20,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,97,64,66%,1,2%,97.0,64.0,66.0,2.0,65.97938144329896,0.02061855670103796,1.5625,65.97938144329896,0.02061855670103796,4,4,4,4,4,2,2,2,4,4,4,4,4,2,4.0,2.0,4.0,1
29,3.00 - 4.49,"Chandra Govt. High School, Gazipu",109064,Town/City (Urban),Male,Rural Area,Arts (Humanities),Bangla Medium,Below 15000 TK,Secondary (SSC or Below),Secondary (SSC or Below),Business / Self-employed,No,No,75% or Above,2 - 4 Hours,No,Always,No,No,Yes,No,No,No,Never_Use,No,Never_USe,Available,Not Available,5,100,Neutral,Agree,Strongly Agree,Agree,Neutral,Disagree,Disagree,Strongly Disagree,Neutral,Neutral,Agree,Agree,Neutral,107,98,92%,18,18%,107.0,98.0,92.0,18.0,91.58878504672897,0.41121495327102764,18.367346938775512,91.58878504672897,0.41121495327102764,3,4,5,4,3,2,2,1,3,3,4,4,3,3,3.8,2.0,3.5,1
30,3.00 - 4.49,"Chandra Govt. High School, Gazipu",109064,Town/City (Urban),Male,Urban Area,Arts (Humanities),Bangla Medium,15000 - 40000 TK,Secondary (SSC or Below),Secondary (SSC or Below),Job (Government or Private),No,Yes,75% or Above,2 - 4 Hours,No,Very Low / Rarely,Yes,No,Yes,No,No,No,Never_Use,No,Never_USe,Available,Not Available,5,100,Agree,Neutral,Agree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,107,98,92%,18,18%,107.0,98.0,92.0,18.0,91.58878504672897,0.41121495327102764,18.367346938775512,91.58878504672897,0.41121495327102764,4,3,4,3,4,1,1,3,4,5,5,5,5,2,3.6,1.75,5.0,1
31,4.50 - 5.00,"Chandra Govt. High School, Gazipu",109064,Town/City (Urban),Male,Rural Area,Science,Bangla Medium,Below 15000 TK,Secondary (SSC or Below),Secondary (SSC or Below),Business / Self-employed,No,Yes,75% or Above,2 - 4 Hours,No,Sometimes,Yes,No,Yes,Yes,Yes,Yes,Less than 2 Hours,Yes,Both Equally,Available,Not Available,5,100,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,107,98,92%,18,18%,107.0,98.0,92.0,18.0,91.58878504672897,0.41121495327102764,18.367346938775512,91.58878504672897,0.41121495327102764,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4.0,3.5,4.0,2
32,4.50 - 5.00,"Chandra Govt. High School, Gazipu",109064,Town/City (Urban),Male,Urban Area,Science,Bangla Medium,15000 - 40000 TK,Secondary (SSC or Below),Primary,Business / Self-employed,No,No,60% - 75%,2 - 4 Hours,No,Sometimes,No,No,Yes,No,Yes,Yes,Less than 2 Hours,Yes,Both Equally,Available,Not Available,5,100,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,107,98,92%,18,18%,107.0,98.0,92.0,18.0,91.58878504672897,0.41121495327102764,18.367346938775512,91.58878504672897,0.41121495327102764,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4.0,4.0,4.0,2
33,3.00 - 4.49,Araigonj Azim High School and College,109079,Village (Rural),Male,Rural Area,Science,Bangla Medium,15000 - 40000 TK,Primary,Primary,Agriculture,Yes,Yes,75% or Above,More than 4 Hours,No,Sometimes,No,Yes,Yes,Yes,Yes,Yes,Less than 2 Hours,No,Studying / Educational Content,Available,Available,6,70,Agree,Agree,Agree,Neutral,Neutral,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,Agree,Neutral,Neutral,161,105,66%,4,4%,161.0,105.0,66.0,4.0,65.21739130434783,0.7826086956521721,3.8095238095238098,65.21739130434783,0.7826086956521721,4,4,4,3,3,1,2,3,4,5,4,3,3,2,3.6,2.0,3.75,1
34,3.00 - 4.49,"Chandra Govt. High School, Gazipu",109064,Town/City (Urban),Female,Rural Area,Commerce,Bangla Medium,Above 40000 TK,Primary,Primary,Business / Self-employed,No,Yes,75% or Above,2 - 4 Hours,No,Always,Yes,Yes,Yes,Yes,Yes,Yes,2 - 4 Hours,Yes,Both Equally,Available,Not Available,2,120,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Neutral,Agree,Agree,Agree,Agree,107,98,92%,18,18%,107.0,98.0,92.0,18.0,91.58878504672897,0.41121495327102764,18.367346938775512,91.58878504672897,0.41121495327102764,4,4,4,4,4,2,2,2,3,4,4,4,4,3,4.0,2.25,4.0,1
35,4.50 - 5.00,"Chandra Govt. High School, Gazipu",109064,Town/City (Urban),Male,Urban Area,Arts (Humanities),Bangla Medium,15000 - 40000 TK,Higher Secondary (HSC) or Above,Higher Secondary (HSC) or Above,Others,No,Yes,75% or Above,2 - 4 Hours,No,Always,Yes,No,Yes,No,No,No,Never_Use,Yes,Never_USe,Available,Not Available,5,100,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,107,98,92%,18,18%,107.0,98.0,92.0,18.0,91.58878504672897,0.41121495327102764,18.367346938775512,91.58878504672897,0.41121495327102764,4,4,4,4,4,2,4,3,3,4,4,4,3,3,4.0,3.0,3.75,2
36,Below 3.00,"Chandra Govt. High School, Gazipu",109064,Town/City (Urban),Male,Urban Area,Arts (Humanities),Bangla Medium,Below 15000 TK,Higher Secondary (HSC) or Above,Primary,Unemployed,Yes,Yes,60% - 75%,Less than 2 Hours,No,Sometimes,Yes,No,Yes,Yes,No,No,Never_Use,No,Never_USe,Available,Not Available,5,100,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Neutral,107,98,92%,18,18%,107.0,98.0,92.0,18.0,91.58878504672897,0.41121495327102764,18.367346938775512,91.58878504672897,0.41121495327102764,4,4,4,4,4,4,4,4,2,4,4,4,3,4,4.0,4.0,3.75,0
37,3.00 - 4.49,"Holy Child Model School & College, Vannara",136518,Town/City (Urban),Male,Urban Area,Science,Bangla Medium,15000 - 40000 TK,Primary,Primary,Others,Yes,Yes,75% or Above,2 - 4 Hours,No,Always,No,No,Yes,Yes,Yes,Yes,More than 4 Hours,Yes,Studying / Educational Content,Not Available,Not Available,3,50,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Neutral,Agree,Neutral,242,198,82%,20,11%,242.0,198.0,82.0,11.0,81.81818181818183,0.18181818181817277,10.1010101010101,81.81818181818183,0.18181818181817277,5,4,4,5,5,1,1,1,4,4,3,4,3,2,4.6,1.25,3.5,1
